feature,imp
D_59_max,0.000121504786987333
D_71_mean,0.00011878400562867131
D_83_pct_values_above_mean,0.00011724402237019926
D_84_pct_values_above_mean,0.00011283287882472887
D_79_median,9.78540144721211e-05
D_59_min,9.6344633187819e-05
D_54_pct_values_above_mean,9.404785219276274e-05
D_78_pct_values_above_mean,9.391026714567822e-05
D_39_IQR,7.760305788694812e-05
D_114_last_0.0,7.274069694345558e-05
D_51_std,7.225044746703205e-05
D_51_range,7.119535048441669e-05
D_130_max,6.843728365971851e-05
D_71_std,6.84101341115339e-05
D_69_range,6.686332091616719e-05
D_60_range,6.23766202024895e-05
D_133_IQR,5.5329175890718736e-05
D_41_pct_values_above_mean,5.1902216309177634e-05
D_47_avg_pct_change,4.81725672709937e-05
D_91_IQR,4.7438443344279334e-05
D_91_max,4.384368221700857e-05
D_47_range,4.297293989633188e-05
D_69_pct_values_above_mean,4.0487639093752244e-05
D_60_IQR,4.046887329870883e-05
D_80_mean,4.0145107400300136e-05
D_91_std,3.8746686645512447e-05
D_91_range,3.562406728660514e-05
D_133_mean,3.522783295021073e-05
D_83_IQR,2.986501087294079e-05
D_71_range,2.9377090682392144e-05
D_63_last_CR,2.9212905357825823e-05
D_72_IQR,2.8851385745197966e-05
D_133_max,2.341273591063605e-05
D_83_std,2.1742192515076583e-05
D_83_range,2.1649519332594875e-05
D_44_pct_values_above_mean,1.9533210596262452e-05
D_69_min,1.8715311680289714e-05
D_71_min,1.822779350086037e-05
D_91_pct_values_above_mean,1.5978320015806188e-05
D_72_median,1.565751976565729e-05
D_52_avg_pct_change,1.4687755162565816e-05
D_59_avg_pct_change,1.4112509232874518e-05
D_131_min,1.410487945031471e-05
D_83_min,1.3567667264098544e-05
D_91_mean,1.3532693309744988e-05
D_65_median,1.2670591875711662e-05
D_89_pct_values_above_mean,1.1746486759601983e-05
D_79_min,9.763248217844094e-06
D_47_std,9.672162124848335e-06
D_51_IQR,8.786347944389077e-06
D_80_max,6.1767500289113146e-06
D_71_IQR,4.217072707119221e-06
D_81_median,3.1007694465485508e-06
D_68_last_6.0,1.917361669965245e-06
D_92_mean,1.8667921247462778e-06
D_59_range,9.594311931877398e-07
D_81_pct_values_above_mean,7.723500837585258e-07
D_94_median,3.4298179336194476e-07
D_144_min,0.0
D_140_pct_values_above_mean,0.0
D_143_IQR,0.0
D_144_median,0.0
D_68_last_2.0,0.0
D_143_pct_values_above_mean,0.0
D_143_std,0.0
D_143_range,0.0
D_126_last_1.0,0.0
D_143_max,0.0
D_143_min,0.0
D_144_range,0.0
D_63_last_CL,0.0
D_140_std,0.0
D_144_max,0.0
D_145_pct_values_above_mean,0.0
D_145_std,0.0
D_63_last_CO,0.0
D_63_last_XL,0.0
D_145_max,0.0
D_63_last_XM,0.0
D_63_last_XZ,0.0
D_140_range,0.0
D_145_IQR,0.0
D_145_min,0.0
D_145_median,0.0
D_145_mean,0.0
D_144_pct_values_above_mean,0.0
D_68_last_3.0,0.0
D_94_min,0.0
D_86_IQR,0.0
D_144_IQR,0.0
D_144_std,0.0
D_71_pct_values_above_mean,0.0
D_143_median,0.0
D_131_IQR,0.0
D_139_mean,0.0
D_133_pct_values_above_mean,0.0
D_52_pct_values_above_mean,0.0
D_52_std,0.0
D_139_min,0.0
D_140_max,0.0
D_139_max,0.0
D_130_median,0.0
D_130_min,0.0
D_139_median,0.0
